127.0.0.1 - - [07/Nov/2022:16:41:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:18 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:18 +0900] "GET /jsp/ HTTP/1.1" 200 6082
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:22 +0900] "GET /jsp/enrollFrom.me HTTP/1.1" 200 9906
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:53 +0900] "GET /jsp/idCheck.me?checkId=qjatjr1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:55 +0900] "POST /jsp/insert.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:55 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:42:55 +0900] "GET /jsp/ HTTP/1.1" 200 6113
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:43:03 +0900] "POST /jsp/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:43:03 +0900] "GET /jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:43:03 +0900] "GET /jsp/ HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [07/Nov/2022:16:43:05 +0900] "GET /jsp/myPage.me HTTP/1.1" 200 9172
