사진명,사진내용,촬영위치(X좌표),촬영위치(Y좌표)
이순신 공원,웅천 이순신 공원,,
오충사,오충사,,
애양원역사박물관,애양원,,
이순신 대교 홍보관,이순신 대교 홍보관 ,,
스카이타워,스카이타워 전망대 ,,
영취산 진달래,영취산 진달래,,
2019영취산 진달래,2019영취산 진달래,,
2019 여수 영취산 진달래,2019 여수 영취산 진달래,,
2019 여수 영취산 진달래,2019 여수 영취산 진달래,,
자산공원충혼탑단풍사진,"자산공원충혼탑단풍사진 2018년 하반기 여수 사계절 관광사진 공모전 입상작",,
자산공원추경,"자산공원추경2018년 하반기 여수 사계절 관광사진 공모전 입상작",,
자산공원 - 늦가을의 한려해상단풍,"늦가을의 한려해상단풍2018년 하반기 여수 사계절 관광사진 공모전 입상작",,
자산공원 - 가을찬가,"자산공원 - 가을찬가 2018년 하반기 여수 사계절 관광사진 공모전 입상작",,
